GPCR,STANDARD_VALUE,smiles
P47900,C1=CC(=CC(=C1)OC2=C(C=CC=N2)NC(=O)NC3=CC(=CC=C3)Cl)C(F)(F)F,-2.107
P47900,CCC1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)F)F,-1.886
P47900,COCCN1CCC2(CC1)CN(C3=CC=CC=C23)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F,-4.11
P47900,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=C(C=C(C=C3)C4=CC(=CC=C4)CN(C)C)F,-1.531
P47900,CC(C)(C)C1=CC=CC=C1OC2=C(C=CC=N2)NC(=O)NC3=CC=C(C=C3)C4(CC4)COC,-1.255
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)C4=CC=C(C=C4)F)C5=CC=CC=C5NC(=O)NC6=NC7=C(S6)N=C(C=C7)Cl,-1.009
P47900,CC1=CC(=C(C(=C1)C)NC2=CC(=C(C3=C2C(=O)C4=CC=CC=C4C3=O)N)S(=O)(=O)[O-])C.[Na+],-3.342
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C=CC=C3O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)Cl,-0.875
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C2C(=C(C=C3O)F)C4=CN=C(C=C4)C(F)(F)F)C5=CC=CC=C5NC(=O)NC6=NC7=C(S6)C=C(C=C7)Cl,-1.816
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C#N)O)C4=CC=CC=C4NC(=O)NC5=NC6=C(S5)C=C(C=C6)F,-0.699
P47900,CC1(CN(C2=C(C=CC(=C21)Cl)O)C3=CC=CC=C3NC(=O)NC4=CSC(=N4)Cl)C,-0.613
P47900,CCN1CCC2=C(C1)C=CC=C2OC3=C(C=CC=N3)NC(=O)NC4=CC=C(C=C4)OC(F)(F)F,-3.23
P47900,CC(C)(C)CN1CCC2(CC1)CN(C3=C(C=CC(=C23)C#N)O)C4=CC=CC=C4NC(=O)NC5=CC=C(C=C5)OC(F)(F)F,-0.458
