GPCR,STANDARD_VALUE,smiles
P50406,-0.653,C1CCN(C1)CCC2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=CC=CC5=CC=CC=C54
P50406,-1.944,COC1=CC=C(C=C1)S(=O)(=O)C2=C3C(=NN2)C=CC=C3N4CCNCC4
P50406,-2,CN1C2=C(C3CCC(C2)N3)C4=C1C=CC(=C4)S(=O)(=O)C5=CC=CC=C5O
P50406,-0.114,C1CC(CNC1)C(=O)NC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
P50406,-0.929,CCC1CN(N=C1)C(=NCC)NS(=O)C2=C(C3=C(S2)C=CC(=C3)Cl)C
P50406,-2.117,C1CC(NC1)CC2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=C(C=C(C=C4)F)F
P50406,-3.121,[C-]#[N+]C1=CC=C(C=C1)S(=O)(=O)C2=CC3=C(C=C2)OC4=C3CNCC4
P50406,-0.574,C1CC(NC1)CC2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=CC=C(C=C4)Cl
P50406,-1.8,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC=CC4=C3C=CN4CCN
P50406,-1.196,CC(CNC1=CC2=C(NN=C2C=C1)S(=O)(=O)C3=CC=CC4=CC=CC=C43)N
P50406,-0.653,CC1=C(C2=C(C1)C=CC(=C2)NS(=O)(=O)C3=C(N=C4N3C=CS4)Cl)CCN(C)C
P50406,-1.732,CN1CCN(CC1)C2=NC3=C(C=CN3S(=O)(=O)C)C(=C2)C4=CC=C(C=C4)C(F)(F)F
P50406,0.2,C1CN(CCN1)C2=CC(=CC3=C2OCCN3S(=O)(=O)C4=CC=CC5=C4N=CC=C5)Cl
P50406,-1.098,CCN1CC(=C(C1)Cl)C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC(=CC=C4)Cl
P50406,0.301,C1CN(CCN1)C2=CC=CC3=C2SC=C3S(=O)(=O)C4=CC=CC=C4
P50406,-0.778,C1CNCC2=C1OC3=C(C=C(C=C23)S(=O)(=O)C4=CC(=CC(=C4)Cl)Cl)Cl
P50406,-1.185,CC1=C(C(=NC2=C(C(=NN12)NC)S(=O)(=O)C3=CC=CC=C3)C)CC(=O)N(C)C
P50406,-1.48,CN1CCN(CC1)C2=CN(C3=C2C=CC(=C3)Cl)S(=O)(=O)C4=CC=CC=C4Br
P50406,-2.479,C1CN(CCN1CCCCNS(=O)(=O)C2=CC3=C(C=CC=N3)C=C2)C4=C(C(=CC=C4)Cl)Cl
P50406,-0.531,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=C4C=CC=C(C4=NN3)NC(=O)CCN.Cl
P50406,-1.5,COC1=CC=C(C2=CC=CC=C21)S(=O)(=O)N3CC(C4=CC=CC=C43)C(=O)NCCCN5CCOCC5
P50406,0,C1CC(NC1)CC2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=CC=C(C=C4)I
P50406,-2.064,C1CNCC2=C1C3=CC=CC=C3N2S(=O)(=O)C4=CC=C(C=C4)N
P50406,-3.613,C1CNCCC1OC2=C(C=C(C=C2)CN3CCC(C3)NC(=O)C4=CC(=C(C=C4)Cl)Cl)Br
P50406,-1.519,CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C3=CC=CC=C3
P50406,-1.72,CN(C)CCN(C)CC1=CC2=C(NN=C2C=C1)S(=O)(=O)C3=CC=CC4=CC=CC=C43
P50406,0.3,C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=C(C=C4)C5=CC=CC=C5
P50406,1,C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CN4CC(C4)O
P50406,-0.7,C1CN(CCN1)C2=C(C=CC3=C2C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl)C#N
P50406,-2.968,CN1CCN(CC1)C2=CC(=C(C=C2)OCC3=CC=CC=C3)NCC4=CC=CC=C4
P50406,-1.021,CC1=C(C=CN=C1OC(C)C2=CC(=CC=C2)Cl)C3CCNCC3
P50406,-3,CC1=C(C2=C(N1)C=CC(=C2)C3=CC=CC=C3)C4=CCNCC4
P50406,-1.234,CNC1CCC2=C(C1)C3=CC=CC=C3N2S(=O)(=O)C4=CC=CC(=C4)C(F)(F)F.Cl
P50406,-2.682,CN1CCN(CC1)C2=CC(=C(C=C2)[N+](=O)[O-])NN3C=CC=C3
P50406,-1.127,CN1CCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=C(NC5N4C=CS5)Cl
P50406,-1.875,C1CNCC2C1C3=C(O2)C=C(C=C3)S(=O)(=O)C4=CC=CC=C4C5=CC=CC=C5.Cl
P50406,-2.751,C1=CC(=CC=C1N)S(=O)(=O)C2=CC(=C(C=C2)N)N
P50406,-1.756,C1CN(CCN1)C2=CC=C(C3=CC=CC=C32)C(=O)C4=CC=CC=C4
P50406,-2.68,CSC1=NN2C=CC=NC2=C1S(=O)(=O)C3=CC(=C(C=C3)F)Cl
P50406,-1.672,C1CNCCC2=C1C=CC(=C2)N3CC(OC3=O)C4=CC=CC=C4Cl
P50406,-1.663,CC1=C(C=C(C=C1)S(=O)(=O)C2=C3N=C(C4=C(N3N=N2)C=CS4)NCCC(C)C)C
P50406,0.796,CN1CCN(CC1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC(=C4)F
P50406,-2.568,CC1=CC2=C(C=C1)N(C3=C2CN(CC3)C)CCC4=CC=NC=C4
P50406,-2.121,CC1=CC(=CC=C1)S(=O)(=O)C2=CC3=C(C=C2)C4CCNCC4O3.Cl
P50406,-3.188,C1CCCN(CC1)C2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC(=CC=C5)Cl
P50406,-1.491,C1CC2C3=C(CC1N2)OC4=C3C=C(C=C4)S(=O)(=O)C5=CC(=CC=C5)Cl
P50406,-1.748,CSC1=C(C(=N)N2C=C(C=CC2=N1)Br)S(=O)(=O)C3=CC=CC=C3
P50406,-0.079,CN1C2=C(C3CCC(C2)N3)C4=CC(=CC(=C41)OC)S(=O)(=O)N5C=C(C6=CC=CC=C65)[N+]#[C-]
P50406,-1.76,C1CC(=NN=C(N)N)C2=C1C=CC(=C2)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3
P50406,-0.932,C1CNCC=C1C2=CN(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(S4)Cl
P50406,-3.471,CN(C)C=NN=CC1=CN(C2=C1C(=CC=C2)[N+](=O)[O-])S(=O)(=O)C3=CC=CC4=CC=CC=C43
P50406,-1.74,CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N.Br.Br
P50406,0.158,C1CC2CC(CCN2C1)C3=CC4=C(C=C3)C=CN4S(=O)(=O)C5=CC=CC6=CC=CC=C65
P50406,-3.176,CC1=CC(=CC=C1)S(=O)(=O)NCCCN2CCN(CC2)C3=NOC4=CC=CC=C43
P50406,-2.959,CC1=CC=C(C=C1)C=CN2C3=C(CN(CC3)C)C4=C2C=CC(=C4)C
P50406,-1.05,CC(C)N1CCCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC=C(C=C4)Cl
P50406,-1.342,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCC(=CC3)C4=CN(C5=CC=CC=C54)CC6=CC=CC=C6
P50406,-1.465,CN1CCN(CC1)CC2=C3C=CN(C3=CC=C2)S(=O)(=O)C4=CC=C(C=C4)OC
P50406,-1.342,CC1=CC(=CC=C1)S(=O)(=O)NCCCN2CCN(CC2)C3=NSC4=CC=CC=C43
P50406,-0.1,CN1CCC2=C(CC1)C=C3C(=C2)C=CN3S(=O)(=O)C4=CC(=CC=C4)Cl
P50406,-1.068,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCOC4=NN(C(=O)C=C4)C5=C(C=CC(=C5)Cl)Cl
P50406,-0.933,CN1CCN(CC1)CC2=C3C=CN(C3=CC=C2)S(=O)(=O)C4=C(C=C(C=C4)OC)Br
P50406,-3.017,C1CN(CCN1CCOCCC(=O)NCC2=CC=C(C=C2)C(F)(F)F)C3=C(C=CC=N3)C4=CC=CC=C4
P50406,-2.497,CC1(C(=O)N(C(=O)N1CCCCCN2CCN(CC2)C3=CC(=C(C=C3)Cl)Cl)CC4=C(C=C(C=C4)Cl)Cl)C.Cl
P50406,-0.845,CN1CCN(CC1)C2=NC3=C(C=CN3S(=O)(=O)C4CCOCC4)C(=C2)C5=CC=C(C=C5)C(F)(F)F
P50406,-2.934,CC1=CC(=C(C=C1)C)S(=O)(=O)C2=C3N=C(C4=C(N3N=N2)C=CS4)NCCC(C)C
P50406,0.635,CNC1=NN2C3=C(CCC3)C=NC2=C1S(=O)(=O)C4=CC=CC=C4
P50406,-3.891,C1CN(CCN1CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C(=O)CCCC4=CC=CC=C4
P50406,-1.013,CC1=C(C=CC=C1OCC2=CC(=CC=C2)F)N3CCNCC3
P50406,-3.587,C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3
P50406,-1.279,C1CN(CC2=C1OC3=C(C=C(C=C23)S(=O)(=O)C4=CC=CC=C4)Cl)CCC(F)(F)F
P50406,-3.1,CCCCCCOC1=NSN=C1C2=CCCN(C2)C
P50406,-3.185,C1CN(CCN1CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C(=O)OCCC4=CC=C(C=C4)F
P50406,-2.886,CC1=C(C=C(C=C1)S(=O)(=O)C2=C3N=C(C4=C(N3N=N2)C=CS4)NCC5=CC=CO5)C
P50406,-1.3,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNC(C5)C(C)C
P50406,-1.591,CN1C2=C(C3CCC(C2)N3)C4=C1C=CC(=C4)S(=O)(=O)C5=CC=NC6=CC=CC=C65
P50406,-1.124,CC1=C(C2=C(N1)C=CC(=C2)SC)C3=CCNCC3
P50406,-1.806,C1CN(CCN1)C2=NC3=C(O2)C=CC=C3S(=O)(=O)C4=CC=C(C=C4)F
P50406,-0.701,CN(C)C1CCC2=C(C1)C3=C(N2S(=O)(=O)C4=CC=CC=C4Br)C=CC(=C3)F
P50406,-0.447,CC1=C(C=CC=C1OC(C)C2=CC(=CC=C2)Cl)C3CCNCC3
P50406,-3.462,CN1CCN(CC1)N=CC2=C(N(C3=CC=CC=C32)S(=O)(=O)C4=CC=C(C=C4)F)C5=CC=CC=C5
P50406,-1.415,C1CNCC2=C1OC3=C(C=C(C=C23)S(=O)(=O)C4=CC=C(C=C4)N5C=CC=N5)Cl
P50406,-0.3,C1CN(CCN1)C2=C3C(=CC=C2)N(CCO3)S(=O)(=O)C4=CC(=CC=C4)Cl
P50406,-0.23,COC1=CC2=C(C=C1)N(C=C2C3=CCNCC3)S(=O)(=O)C4=CC=C(C=C4)N
P50406,1,C1CC(C2=C(C1)C=C(C=C2)S(=O)(=O)C3=CC=CC(=C3)F)CNC4=NC=C(N4)O
P50406,-1.492,CC1=NC2=C(C(=NN2C(=C1)N3CCOCC3)NC)S(=O)(=O)C4=CC=CC=C4
P50406,-1.813,CC(C)NC1=NC2=C(N=NN2C3=C1SC=C3)S(=O)(=O)C4=CC=CC=C4
P50406,-1.785,CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=CC3=C(NN=C3C=C2)C4CCN(CC4)C
P50406,-1.462,C1CNCC=C1C2=CN(C3=C2C=C(C=C3)[N+](=O)[O-])S(=O)(=O)C4=CC=C(C=C4)N
P50406,-1.663,CC1=C(C2=C(N1)C=CC(=C2)O)CCN
P50406,-1.724,C1CNCCC1NC2=CC3=NNC(=C3C=C2)S(=O)(=O)C4=CC=CC5=CC=CC=C54
P50406,-0.462,CC(C1=CC=C(C=C1)S(=O)(=O)C2=CC(=C3C(=C2)C4=C(O3)CCNC4)OC)O
P50406,-2.964,C1=CC=C(C=C1)NC2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC(=CC=C5)Cl
P50406,-2.5,CC1=NC2=C(C=C1)C(=CC=C2)N3CCN(CC3)CCC4=CC(=CC=C4)NC(=O)NC5=CC=CC=C5
P50406,0,CC1=C(C2=C(N1S(=O)(=O)C3=CC=CC=C3)C=CC(=C2)Cl)C4=CCNCC4
P50406,-3.712,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCN3CCN(CC3)C4=CC(=CC=C4)Cl.Cl
P50406,-1.519,C1CNCCC2=C1C3=CC=CC=C3N2S(=O)(=O)C4=CC=CC(=C4)F
P50406,-1.041,CSC1=C(C(=N)N2C=CC=CC2=N1)S(=O)(=O)C3=CC=CC=C3Cl
P50406,-1.892,CN1C2=C(C3CCC(C2)N3)C4=C1C=CC(=C4)S(=O)(=O)N5C=CC6=C5C=CC=N6
P50406,-0.279,C1CNCC2=C1OC3=C(C=C(C=C23)S(=O)(=O)C4=CC=C(C=C4)Cl)Cl
P50406,-3.873,CN1CCC2=C(C1)C3=C(N2CCC4=CC=CC=N4)C=CC(=C3)C#N
P50406,-3.061,COC1=CC=CC=C1NC2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC=C(C=C5)Cl
P50406,1,CN1CC(=C(C1)Cl)C2=CN(C3=C2C=C(C=C3)OC)S(=O)(=O)C4=CC=CC=C4
P50406,-0.301,CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N
P50406,-4.297,C1CCC2=C(C1)C=CC=C2NS(=O)(=O)C3=CC=C(S3)C4=NNC(=O)C=C4
P50406,-3.23,COC1=CC2=C(C=C1)N(C=C2CCN3CCOCC3)S(=O)(=O)C4=CC=CC=C4
P50406,-1.954,CCC1=C(C2=C(N1)C=CC(=C2)OC)C3=CCNCC3
P50406,-0.875,CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=C3C=C(C=CC3=NN2)NC4CCNCC4
P50406,-0.415,CN1CCN(CC1)C2=C(C=CC(=C2)S(=O)(=O)NCCC3=CC=C(C4=CC=CC=C34)OC)OC
P50406,-1.255,C1CNCCC1CNC2=CC3=C(C=C2)C=NN3S(=O)(=O)C4=CC=CC5=CC=CC=C54
P50406,-0.629,COC1=C(C=C(C=C1)S(=O)(=O)NCC2=CC=CC=C2)NC3CCNCC3
P50406,1,CN1CCC(CC1)NC2=C(C=CC(=C2)S(=O)(=O)N3C=CC4=C3C=C(C=C4)OC)OC.OP(=O)(O)O
P50406,-0.996,CC1=CC(=CC=C1)S(=O)(=O)C2=C3C=C(C=CC3=NN2)NC4CCNCC4.Cl
P50406,-1.58,CN1CCC(CC1)NC2=C(C=CC(=C2)S(=O)(=O)NCCC3=CC=CC=C3Br)OC
P50406,-1.041,CC(C)NC1=CC(=CC=C1)S(=O)(=O)C2=CC3=C(C=C2)N(C4=C3C5CCC(C4)N5)C
P50406,-1.94,CC1=CC(=CC=C1)S(=O)(=O)NCCCCN2CCN(CC2)C3=NOC4=CC=CC=C43
P50406,1.301,COC1=C2C(=CC(=C1)S(=O)(=O)C3=CC(=CC=C3)Cl)C4=C(O2)CCNC4
P50406,-1.322,CCC1=CC2=CC=CC=C2C(=C1)N3CCNCC3
P50406,-2.217,CNC1=CC=CC2=C1C3=C(N2S(=O)(=O)C4=CC=C(C=C4)N)CCCC3
P50406,-2.813,CC1=C(C2=CC=CC=C2N1)C3=CCNCC3
P50406,-1.672,C1C(CN1)OC2=C(C=CC(=C2)Br)OCC3=CC(=CC=C3)Cl
P50406,-3.255,C1CNCCC2=NC(=NC=C21)CC3=CC=CC=C3
P50406,-2.477,CC1=C(C(=NC2=C(C(=NN12)SC)S(=O)(=O)C3=CC=CC=C3)C)Cl
P50406,-1.845,CN1CCOC2=C1C=C(C=C2)S(=O)(=O)NC3=CC4=C(CCC4=NNC5=NCCN5)C=C3
P50406,-0.51,CCN1CCCC(C1)N2C=C(C3=C2N=CC=C3)S(=O)(=O)C4=CC=C(S4)Cl
P50406,-3.176,CN1CCC2=C(C1)C3=C(N2C=CC4=CC=C(C=C4)OC)C=CC(=C3)F
P50406,0.284,CNC1=NN2C=C3CCCCC3=NC2=C1S(=O)(=O)C4=CC=CC=C4
P50406,-0.6,C1CNCCC2=C1C=C3C(=C2)N(C=C3Cl)S(=O)(=O)C4=CC(=CC=C4)Cl
P50406,-0.477,C1CNCC2=C1OC3=C(C=C(C=C23)S(=O)(=O)C4=CC=C(C=C4)F)Cl
P50406,-0.079,COC1=C(C=C(C=C1)S(=O)(=O)NCC2(CC2)C3=CC=CC4=C3C=C(C=C4)Br)N5CCNCC5
P50406,-0.9,CC1=C(C2=C(C=C(C=C2S1)Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5
P50406,-1.462,CN1CCCC1CN2C=C(C3=CC=CC=C32)CC4=CC=CC=C4.C(=O)(C(=O)O)O
P50406,1,CN1CC(=C(C1)Cl)C2=CN(C3=C2C=C(C=C3)F)S(=O)(=O)C4=CC=CC=C4
P50406,-2.312,CNC1=CC2=C(C=C1)C3=C(N2S(=O)(=O)C4=CC=C(C=C4)N)CCCC3
P50406,-1.4,C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC(=CC(=C4)Cl)Cl
P50406,-3.29,CN(CC1=CC=CC=C1)C2=NC3=C(N=NN3C4=C2SC=C4)S(=O)(=O)C5=CC=C(C=C5)Br
P50406,-2.134,CC1=C(N=C(N1C2=CC=CC=C2)C)C(=O)NCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl.Cl.Cl.Cl.Cl
P50406,0.77,COC1=C2C(=CC(=C1)S(=O)(=O)C3=CC=CS3)C4=C(O2)CCNC4
P50406,-0.763,CN1C2=C(C3CCC(C2)N3)C4=C1C=CC(=C4)S(=O)(=O)C5=CC=CC(=C5)OC(F)F
P50406,-0.569,CN(C)C1CCC2=C(C1)C3=C(N2S(=O)(=O)C4=CC=CC(=C4)C(F)(F)F)C=CC(=C3)OC
P50406,-3.207,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4
P50406,-1.964,CCC1CN(N=C1)C(=NCC2=CC=CC=C2)NS(=O)(=O)C3=CC=CC=C3Cl
P50406,-1.183,C1CNCCC1CNC2=CC=CC3=NNC(=C32)S(=O)(=O)C4=CC=CC5=CC=CC=C54.Cl
P50406,-1.093,CCN1CCN(CC1)CC2=CC3=C(C=C2)N(C=C3)S(=O)(=O)C4=C(C=C(C=C4)F)F
P50406,-1.924,C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)C3=C4C=C(C=CC4=NN3)CNCCN
P50406,-1.114,CC1CC(N1C(=O)C2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
