GPCR,STANDARD_VALUE,smiles
Q96LB2,-3.43,CC1=C(C=CC=C1NC(=O)C2CCN(CC2)C3=CC=C(C=C3)C#N)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
Q96LB2,-2.88,C1CCN(CC1)C(=O)CN2CCN(CC2)C3=NC(=NC=C3)NCCC4=CC=C(C=C4)Cl
Q96LB2,-2.47,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C(=C(C=N4)NCCNC)Cl
Q96LB2,-2.9,CC(C)CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)N)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(CC(=O)O)NC(=O)C(CCSC)NC(=O)C(CC4=CNC5=CC=CC=C54)NC(=O)C(CC6=CNC7=CC=CC=C76)NC(=O)C(CCC(=O)O)NC(=O)C8CCCN8C(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCSC)NC(=O)C(CC9=CC=CC=C9)NC(=O)CNC(=O)CNC(=O)C(CC1=CC=C(C=C1)O)N
Q96LB2,-2.9,CC(C)C(C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)NC(CC4=CNC5=CC=CC=C54)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC6=CC=C(C=C6)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC7=CC=C(C=C7)O)C(=O)NCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCSC)NC(=O)C(CC8=CC=CC=C8)NC(=O)CNC(=O)CNC(=O)C(CC9=CC=C(C=C9)O)N
Q96LB2,-4.51,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C(=C(C=N4)N5CCN(CC5)C(=O)C)Cl
Q96LB2,-2.8,CCCCNC(=O)C1=CC2=C(C=C1)N(C(=N2)C3=CC(=CC=C3)OC4=CC=CC=C4)C(CCCN=C(N)N)C(=O)N
Q96LB2,-1.886,CCN(CC1=C(C=NC=C1Cl)Cl)C(=O)CN2CCN(CC2)C3=NC(=NC=C3)NCCC4=CC=C(C=C4)Cl
Q96LB2,-1.954,C1CN2CCC1C(=CC(C3=CC(=CC=C3)C(F)(F)F)O)C2C(C4=CC=CC=C4)C5=CC=CC=C5
Q96LB2,-2.09,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CN=C(C=C3)OC)CN4C(=O)C(=C(C=N4)N5CCN(CC5)C)Cl
Q96LB2,-1.342,C1CN(CCN1CC(=O)N(CC2=CC=CC=C2)CC3=CC=NC=C3)C4=NC(=NC=C4)NCCC5=CC=C(C=C5)Cl
Q96LB2,-2.599,C1CN2CCC1C(=CC(C3=CC=C(C=C3)F)O)C2C(C4=CC=CC=C4)C5=CC=CC=C5
Q96LB2,-3.62,CC1=C(C=CC=C1NC(=O)C2=CC=CC(=C2)C3=CSC=C3)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
Q96LB2,-1.146,C1CN(CCN1CC(=O)N(CCCN2CCOCC2)CC3=C(C=NC=C3Cl)Cl)C4=NC(=NC=C4)NCCC5=CC=C(C=C5)Cl
Q96LB2,-2.445,C1=CC=C(C=C1)OC2=CC=CC(=C2)C3=NC4=C(N3C(CCCN=C(N)N)C(=O)N)C=CC(=C4)C(=O)NCCC5=CC=CC=N5
Q96LB2,-2.796,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3=CC4=C(C=C3)N(C(=N4)C5=CC(=CC=C5)OC6=CC=CC=C6)C(CCCN=C(N)N)C(=O)N
Q96LB2,-2.1,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
Q96LB2,-3.08,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OCC5=CC=C(C=C5)C#N
Q96LB2,-2.161,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CSC=C3)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
Q96LB2,-1.301,C1CN(CCN1CC(=O)N(CC2=CC=NC=C2)CC3=CC=CO3)C4=NC(=NC=C4)NCCC5=CC=C(C=C5)Cl
Q96LB2,-2.77,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CC=CS3)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
Q96LB2,-2.46,CC1=C(C=CC=C1NC(=O)C2=CC=C(C=C2)C3=CC=CC4=C3N=CC=C4)CN5C(=O)C(=C(C=N5)N6CCNCC6)Cl
Q96LB2,-4.04,CC1=C(C=CC=C1NC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)CN4C(=O)C(=C(C=N4)N5CCNCC5)Cl
Q96LB2,-3.906,C1CCN(C1)C2=NC(=NC3=CC=CC=C32)NCCC4=CC=C(C=C4)Cl
Q96LB2,-5.473,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
Q96LB2,-2.891,C1CN2CCC1C(C2C(C3=CC=CC=C3)C4=CC=CC=C4)OC(=O)NC5=CC=CC=C5Cl
Q96LB2,-2.033,CCN(CC1=C(C=NC=C1)Br)C(=O)CN2CCN(CC2)C3=NC(=NC=C3)NCCC4=CC=C(C=C4)Cl
Q96LB2,-2.901,C1CN2CCC1C(=CCC3=CC=CC=C3)C2C(C4=CC=CC=C4)C5=CC=CC=C5
Q96LB2,-2.519,CCN(CC1=CC=CC=C1)C(=O)CN2CCN(CC2)C3=NC(=NC=C3)NCCC4=CC=C(C=C4)Cl
Q96LB2,-1.602,C1CC(OC1)CN(CC2=CC=NC=C2)C(=O)CN3CCN(CC3)C4=NC(=NC=C4)NCCC5=CC=C(C=C5)Cl
